feature,importance,modality
tab__st_mean_step_length_px,0.07650154,Tabular
tab__L_knee_mean_min,0.07544502,Tabular
tab__R_ankle_std_ROM,0.07491729,Tabular
tab__L_knee_mean_ROM,0.054406244,Tabular
tab__R_ankle_mean_ROM,0.042742435,Tabular
tab__st_L_stance_time_s,0.04235121,Tabular
tab__L_ankle_mean_cv,0.041257225,Tabular
tab__R_knee_mean_peak,0.038035188,Tabular
tab__R_knee_std_peak,0.036159653,Tabular
tab__R_knee_mean_ROM,0.034153182,Tabular
tab__R_ankle_mean_cv,0.03293281,Tabular
tab__L_hip_std_ROM,0.03173466,Tabular
tab__R_knee_std_ROM,0.030633565,Tabular
tab__L_hip_std_peak,0.025453858,Tabular
tab__L_knee_mean_peak,0.023978138,Tabular
tab__R_hip_mean_ROM,0.02334384,Tabular
tab__st_cadence_steps_per_min,0.022087995,Tabular
tab__L_hip_mean_peak_pct,0.02169042,Tabular
tab__L_ankle_mean_ROM,0.02038973,Tabular
tab__R_hip_mean_cv,0.018913157,Tabular
tab__L_ankle_std_peak,0.018443553,Tabular
tab__st_mean_step_time_s,0.017800715,Tabular
tab__R_ankle_mean_peak,0.014456794,Tabular
tab__R_knee_mean_cv,0.0133241005,Tabular
tab__st_step_time_cv_pct,0.012328766,Tabular
tab__R_hip_mean_min,0.011612921,Tabular
tab__quality_mean_pct,0.011007098,Tabular
tab__L_knee_mean_peak_pct,0.010683649,Tabular
tab__L_knee_mean_cv,0.010501248,Tabular
tab__L_knee_std_peak,0.01006958,Tabular
tab__L_ankle_std_ROM,0.009113989,Tabular
tab__R_ankle_mean_min,0.009100288,Tabular
tab__L_ankle_mean_min,0.009093669,Tabular
tab__R_ankle_std_peak,0.009032589,Tabular
tab__st_R_stance_time_s,0.008551763,Tabular
tab__R_knee_mean_peak_pct,0.0073735914,Tabular
tab__R_hip_mean_peak,0.006136951,Tabular
tab__st_symmetry_index_pct,0.005432422,Tabular
tab__R_hip_std_ROM,0.0042735245,Tabular
tab__L_knee_std_ROM,0.0038677612,Tabular
tab__st_step_length_cv_pct,0.0036766878,Tabular
tab__R_hip_mean_peak_pct,0.003183875,Tabular
tab__L_hip_mean_cv,0.0029705425,Tabular
tab__R_knee_mean_min,0.0028801716,Tabular
tab__L_ankle_mean_peak,0.0024666872,Tabular
tab__L_ankle_mean_peak_pct,0.002392345,Tabular
tab__L_hip_mean_peak,0.00237645,Tabular
tab__R_ankle_mean_peak_pct,0.0020388342,Tabular
lstm__103,0.001446654,LSTM
lstm__104,0.00076807,LSTM
tab__L_hip_mean_ROM,0.00071388786,Tabular
lstm__105,0.00060452224,LSTM
lstm__64,0.0005532152,LSTM
lstm__26,0.00055138883,LSTM
lstm__4,0.00053338555,LSTM
lstm__33,0.0004897266,LSTM
lstm__31,0.00045808495,LSTM
lstm__75,0.00043332967,LSTM
lstm__12,0.0004058618,LSTM
lstm__38,0.0003065167,LSTM
