feature,importance,modality
tab__L_ankle_std_peak,0.19678032,Tabular
tab__st_mean_step_length_px,0.10666222,Tabular
tab__R_knee_mean_ROM,0.09974972,Tabular
tab__R_knee_mean_cv,0.08563204,Tabular
tab__st_step_length_cv_pct,0.07008248,Tabular
tab__L_ankle_mean_peak,0.05355859,Tabular
tab__R_ankle_mean_peak,0.041590806,Tabular
tab__L_ankle_mean_peak_pct,0.039610025,Tabular
tab__L_knee_std_ROM,0.028117765,Tabular
tab__L_hip_std_peak,0.027118508,Tabular
tab__st_L_stance_time_s,0.023437407,Tabular
tab__st_R_stance_time_s,0.022766884,Tabular
tab__R_ankle_mean_min,0.020472927,Tabular
lstm__42,0.018194394,LSTM
tab__st_cadence_steps_per_min,0.017232947,Tabular
tab__R_hip_mean_peak_pct,0.017206205,Tabular
tab__R_knee_mean_min,0.014433955,Tabular
tab__st_step_time_cv_pct,0.014368547,Tabular
tab__L_knee_mean_min,0.012945672,Tabular
tab__quality_mean_pct,0.010814908,Tabular
tab__st_mean_step_time_s,0.008690223,Tabular
tab__L_hip_mean_ROM,0.0077221766,Tabular
tab__st_symmetry_index_pct,0.0072092297,Tabular
tab__R_hip_std_ROM,0.005059749,Tabular
tab__L_knee_mean_ROM,0.0050174445,Tabular
tab__R_knee_mean_peak_pct,0.0045715882,Tabular
tab__L_ankle_mean_min,0.0031076472,Tabular
lstm__0,0.0029747353,LSTM
tab__R_knee_mean_peak,0.002963029,Tabular
tab__R_ankle_std_ROM,0.0028827495,Tabular
tab__L_knee_mean_peak_pct,0.0024791828,Tabular
tab__L_knee_std_peak,0.0022087314,Tabular
lstm__17,0.0020889416,LSTM
tab__R_hip_mean_cv,0.001880509,Tabular
tab__R_hip_mean_min,0.0018757689,Tabular
lstm__33,0.0018370891,LSTM
lstm__30,0.001773765,LSTM
lstm__8,0.0017707933,LSTM
tab__L_knee_mean_cv,0.0017011153,Tabular
tab__R_hip_mean_peak,0.0012143564,Tabular
tab__L_ankle_mean_ROM,0.0010599415,Tabular
tab__R_hip_mean_ROM,0.0010508442,Tabular
tab__R_ankle_mean_cv,0.000932889,Tabular
lstm__5,0.00088293286,LSTM
lstm__127,0.00085335126,LSTM
lstm__52,0.00085033907,LSTM
lstm__43,0.0007239562,LSTM
lstm__11,0.000592166,LSTM
lstm__31,0.0005365614,LSTM
tab__L_hip_std_ROM,0.0004972457,Tabular
lstm__45,0.0004676841,LSTM
lstm__29,0.00040163,LSTM
tab__L_hip_mean_min,0.0003820427,Tabular
lstm__100,0.00035504106,LSTM
lstm__110,0.00032383043,LSTM
lstm__48,0.00017506715,LSTM
tab__R_ankle_mean_ROM,0.00010939936,Tabular
lstm__44,0.0,LSTM
lstm__39,0.0,LSTM
lstm__50,0.0,LSTM
lstm__49,0.0,LSTM
lstm__47,0.0,LSTM
lstm__46,0.0,LSTM
lstm__27,0.0,LSTM
lstm__28,0.0,LSTM
lstm__32,0.0,LSTM
lstm__34,0.0,LSTM
lstm__22,0.0,LSTM
lstm__21,0.0,LSTM
